title,family,n_observed_candidates,top_skills,jd_text
prompt engineer,TECH,167,"ansible, pytorch, network security, computer vision, jenkins","Position: Prompt Engineer. We are seeking a Prompt Engineer to join our team. Required skills: ansible, pytorch, network security, computer vision, jenkins. Nice to have: linux, rest apis, graphql. The ideal candidate will have hands-on experience with ansible, pytorch, network security and a strong background in Computer Science / Engineering. Responsibilities include applying ansible, pytorch, network security to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in ansible, pytorch, network security."
software developer,TECH,161,"tensorflow, cybersecurity, natural language processing, python, linux","Position: Software Developer. We are seeking a Software Developer to join our team. Required skills: tensorflow, cybersecurity, natural language processing, python, linux. Nice to have: rest apis, penetration testing, solidity. The ideal candidate will have hands-on experience with tensorflow, cybersecurity, natural language processing and a strong background in Computer Science / Engineering. Responsibilities include applying tensorflow, cybersecurity, natural language processing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in tensorflow, cybersecurity, natural language processing."
machine learning engineer,TECH,154,"tensorflow, linux, agile, java, sql","Position: Machine Learning Engineer. We are seeking a Machine Learning Engineer to join our team. Required skills: tensorflow, linux, agile, java, sql. Nice to have: pytorch, graphql, blockchain. The ideal candidate will have hands-on experience with tensorflow, linux, agile and a strong background in Computer Science / Engineering. Responsibilities include applying tensorflow, linux, agile to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in tensorflow, linux, agile."
blockchain engineer,TECH,152,"jenkins, mongodb, blockchain, git, kubernetes","Position: Blockchain Engineer. We are seeking a Blockchain Engineer to join our team. Required skills: jenkins, mongodb, blockchain, git, kubernetes. Nice to have: azure, computer vision, data analysis. The ideal candidate will have hands-on experience with jenkins, mongodb, blockchain and a strong background in Computer Science / Engineering. Responsibilities include applying jenkins, mongodb, blockchain to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in jenkins, mongodb, blockchain."
project manager,BUSINESS,145,"sales, customer service, strategic planning, presentation skills, medical knowledge","Position: Project Manager. We are seeking a Project Manager to join our team. Required skills: sales, customer service, strategic planning, presentation skills, medical knowledge. Nice to have: team management, marketing, leadership. The ideal candidate will have hands-on experience with sales, customer service, strategic planning and a strong background in Business / Management. Responsibilities include applying sales, customer service, strategic planning to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in sales, customer service, strategic planning."
quantum computing specialist,TECH,138,"sql, rest apis, ci/cd, javascript, penetration testing","Position: Quantum Computing Specialist. We are seeking a Quantum Computing Specialist to join our team. Required skills: sql, rest apis, ci/cd, javascript, penetration testing. Nice to have: scrum, kubernetes, cybersecurity. The ideal candidate will have hands-on experience with sql, rest apis, ci/cd and a strong background in Computer Science / Engineering. Responsibilities include applying sql, rest apis, ci/cd to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in sql, rest apis, ci/cd."
cybersecurity engineer,TECH,123,"kubernetes, penetration testing, natural language processing, spark, react","Position: Cybersecurity Engineer. We are seeking a Cybersecurity Engineer to join our team. Required skills: kubernetes, penetration testing, natural language processing, spark, react. Nice to have: blockchain, sql, amazon web services. The ideal candidate will have hands-on experience with kubernetes, penetration testing, natural language processing and a strong background in Computer Science / Engineering. Responsibilities include applying kubernetes, penetration testing, natural language processing to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in kubernetes, penetration testing, natural language processing."
cybersecurity analyst,BUSINESS,123,"docker, amazon web services, git, cloud computing, terraform","Position: Cybersecurity Analyst. We are seeking a Cybersecurity Analyst to join our team. Required skills: docker, amazon web services, git, cloud computing, terraform. Nice to have: kubernetes, tensorflow, graphql. The ideal candidate will have hands-on experience with docker, amazon web services, git and a strong background in Services / Operations. Responsibilities include applying docker, amazon web services, git to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in docker, amazon web services, git."
backend developer,TECH,123,"graphql, linux, docker, statistics, tensorflow","Position: Backend Developer. We are seeking a Backend Developer to join our team. Required skills: graphql, linux, docker, statistics, tensorflow. Nice to have: sql, azure, pytorch. The ideal candidate will have hands-on experience with graphql, linux, docker and a strong background in Computer Science / Engineering. Responsibilities include applying graphql, linux, docker to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in graphql, linux, docker."
frontend developer,TECH,120,"terraform, rest apis, tensorflow, git, penetration testing","Position: Frontend Developer. We are seeking a Frontend Developer to join our team. Required skills: terraform, rest apis, tensorflow, git, penetration testing. Nice to have: kafka, data analysis, network security. The ideal candidate will have hands-on experience with terraform, rest apis, tensorflow and a strong background in Computer Science / Engineering. Responsibilities include applying terraform, rest apis, tensorflow to deliver high-impact business outcomes. Qualifications: Bachelor's degree or higher in a relevant field; demonstrated proficiency in terraform, rest apis, tensorflow."
